month,Apple_units,Samsung_units,Google_units,Motorola_units,cpi_index,month_num,year,quarter,is_holiday_season,is_back_to_school,is_black_friday,is_new_year_promo,launch_apple,launch_samsung,launch_google,launch_motorola
2018-02-01,549753.6268475836,324266.79307103157,29397.773867299667,18013.938085151312,132.6,2,2018,1,0,0,0,0,0,0,0,0
2018-03-01,333598.3226750692,204336.33951646174,15427.455333106342,10752.87704549941,132.7,3,2018,1,0,0,0,0,0,1,0,0
2018-04-01,466177.8131409196,263800.63936273527,22186.716982815407,15237.703315270835,132.8,4,2018,2,0,0,0,0,0,0,0,0
2018-05-01,474867.52316700167,244849.1242384615,22760.298117724662,15227.526541074883,132.9,5,2018,2,0,0,0,0,0,0,0,1
2018-06-01,578307.020091488,311443.9734486376,22640.723067786203,19263.75860193437,133.1,6,2018,2,0,0,0,0,0,0,0,0
2018-07-01,481498.4418081381,248740.66003407908,18735.19564830838,15044.650549569835,133.7,7,2018,3,0,0,0,0,0,0,0,0
2018-08-01,604804.6820386705,335634.3333471071,22294.925115971328,21381.623945124942,133.9,8,2018,3,0,1,0,0,0,1,0,1
2018-09-01,856062.6228654583,348455.29646897025,23746.113487883766,23268.132141407554,133.8,9,2018,3,0,0,0,0,1,0,0,0
2018-10-01,564018.3700087398,235241.23248762454,21763.176876390702,17984.534617314268,134.2,10,2018,4,0,0,0,0,1,0,1,0
2018-11-01,951853.2153060271,308714.4417742033,34906.37690386321,25691.394974257255,134.0,11,2018,4,1,0,1,0,0,0,0,0
2018-12-01,931341.159268578,365931.79329140845,55351.96095122054,24520.862155367864,134.3,12,2018,4,1,0,0,0,0,0,0,0
2019-01-01,637474.0775799482,265097.5589710471,41238.407846209106,15029.420563769072,134.3,1,2019,1,0,0,0,1,0,0,0,0
2019-02-01,534435.414797343,277564.26520128216,32768.12752086342,10269.185982820765,134.7,2,2019,1,0,0,0,0,0,0,0,1
2019-03-01,369653.16680814425,222582.7099384788,19041.86976583994,7830.72471476421,135.2,3,2019,1,0,0,0,0,0,1,0,0
2019-04-01,448844.3981489203,300923.99516730465,27879.304587581744,11037.635202381893,135.6,4,2019,2,0,0,0,0,0,0,0,0
2019-05-01,368231.4702540762,207498.38169272404,20046.651391751424,8452.52884766193,136.0,5,2019,2,0,0,0,0,0,0,1,0
2019-06-01,471454.4424654456,276464.6692998186,24358.13744028282,13652.222963491167,135.9,6,2019,2,0,0,0,0,0,0,0,0
2019-07-01,527286.595804075,290003.87232792814,34300.23238049209,17362.833028753954,136.4,7,2019,3,0,0,0,0,0,0,0,0
2019-08-01,555087.1328124644,306206.2495460803,32097.835947905678,18274.177183435517,136.4,8,2019,3,0,1,0,0,0,1,0,0
2019-09-01,814961.8697255789,313018.23024445574,32491.88517329643,17824.156509806664,136.3,9,2019,3,0,0,0,0,1,1,0,0
2019-10-01,692466.4292273589,353679.10690381314,40203.49214892548,21235.514727220387,136.7,10,2019,4,0,0,0,0,0,0,1,0
2019-11-01,684286.5992512024,417397.82471625274,38455.81109572772,19145.513043902152,136.8,11,2019,4,1,0,1,0,0,0,0,1
2019-12-01,1089311.7364587763,616889.8026574813,69311.57803445743,23486.087231992253,137.3,12,2019,4,1,0,0,0,0,0,0,0
2020-01-01,548837.9744385281,304770.6031675451,41754.578279993875,11054.18472454836,137.5,1,2020,1,0,0,0,1,0,0,0,0
2020-02-01,372692.79298335605,252324.89799170717,32933.8262344868,8443.435987248067,137.7,2,2020,1,0,0,0,0,0,1,0,0
2020-03-01,221508.3819359498,133876.4182849364,16954.21415100349,5174.93779106167,136.3,3,2020,1,0,0,0,0,0,1,0,0
2020-04-01,294353.1654486209,157331.81535914724,18970.889765291926,6099.992219732208,135.6,4,2020,2,0,0,0,0,0,0,0,1
2020-05-01,320191.6039931555,197324.24625860245,18994.721033236252,7717.0188018571425,135.4,5,2020,2,0,0,0,0,0,0,0,0
2020-06-01,225207.50090366835,158830.59606934723,14418.392187685422,6726.798892941043,136.5,6,2020,2,0,0,0,0,0,0,0,0
2020-07-01,373887.84437983227,214138.38876161756,23424.781948726868,8495.139222390126,136.5,7,2020,3,0,0,0,0,0,0,0,0
2020-08-01,713587.1366972137,451144.7057951867,36948.20135499664,17235.512454965403,136.8,8,2020,3,0,1,0,0,0,1,1,0
2020-09-01,797803.5634510556,412845.0365122522,38507.31967657344,22789.631301781796,137.1,9,2020,3,0,0,0,0,0,1,0,1
2020-10-01,537773.8049070422,234402.48631750786,26768.648662351763,14856.276043919508,137.5,10,2020,4,0,0,0,0,1,0,1,0
2020-11-01,880023.1027990313,472101.02544418484,46705.15828894222,26065.16885150487,138.0,11,2020,4,1,0,1,0,1,0,0,0
2020-12-01,882813.9613958793,473828.94670463196,48938.43508337791,25364.403708049795,138.5,12,2020,4,1,0,0,0,0,0,0,0
2021-01-01,657390.3489753904,386978.4984760834,47403.61506916131,18003.27946046089,139.1,1,2021,1,0,0,0,1,0,1,0,1
2021-02-01,436872.08268229634,256874.71973240716,31265.679710608998,12031.72134803538,139.4,2,2021,1,0,0,0,0,0,0,0,0
2021-03-01,335660.8159831598,194775.02683135532,19189.368713243697,7979.318782867652,139.5,3,2021,1,0,0,0,0,0,0,0,0
2021-04-01,443198.5438955373,248566.7055346327,24124.23628674267,10798.193706295968,139.9,4,2021,2,0,0,0,0,0,0,0,0
2021-05-01,412950.85356584995,233408.94602378207,25709.61924772919,10508.457435733208,140.3,5,2021,2,0,0,0,0,0,0,0,0
2021-06-01,435665.2925994365,238586.60696571934,24682.999119467197,12377.971002383561,140.7,6,2021,2,0,0,0,0,0,0,0,0
2021-07-01,431024.78245990205,237783.90756961342,23117.869317598976,16525.32579360483,141.4,7,2021,3,0,0,0,0,0,0,0,0
2021-08-01,551239.9538410283,322935.45379150665,25402.047900415433,20095.7400472778,142.3,8,2021,3,0,1,0,0,0,1,0,1
2021-09-01,691210.1569207559,277483.71644222067,23157.415745771854,17717.476552656764,143.1,9,2021,3,0,0,0,0,1,0,0,0
2021-10-01,664691.3993863617,289126.5117872907,30914.703855481857,20397.645854005987,143.9,10,2021,4,0,0,0,0,0,0,1,0
2021-11-01,867891.6621936526,424064.86330195307,34666.24188148702,26887.264342001847,144.5,11,2021,4,1,0,1,0,0,0,0,0
2021-12-01,981121.607496629,468412.5435434359,54146.20315229189,27595.105674676146,145.2,12,2021,4,1,0,0,0,0,0,0,0
2022-01-01,976604.3680774505,488996.1584625771,56112.44381299323,31186.943503671333,146.3,1,2022,1,0,0,0,1,0,0,0,0
2022-02-01,445515.33675741113,267983.0802210553,26911.78040157385,13486.75617713986,147.3,2,2022,1,0,0,0,0,0,1,0,1
2022-03-01,378127.40229345753,201802.94541457715,18888.479448289356,10114.077198975161,148.9,3,2022,1,0,0,0,0,0,0,0,0
2022-04-01,495322.29194020125,294350.970671746,28112.339199942173,14379.366475328665,149.4,4,2022,2,0,0,0,0,0,0,0,0
2022-05-01,321895.2448563782,182227.4742846651,18609.32211139807,9345.317288701333,151.1,5,2022,2,0,0,0,0,0,0,0,0
2022-06-01,456272.71938249917,246052.68452537525,24574.861334554822,12673.73844535858,152.2,6,2022,2,0,0,0,0,0,0,0,0
2022-07-01,484002.08985902835,242819.31354401485,22735.65491999523,15197.496576985302,152.2,7,2022,3,0,0,0,0,0,0,1,0
2022-08-01,601324.0176227592,293853.03917143005,23646.4190616144,18002.942265993053,152.1,8,2022,3,0,1,0,0,0,1,0,1
2022-09-01,831240.5535364803,283773.330727425,28811.851449772887,20178.434553125455,152.8,9,2022,3,0,0,0,0,1,0,0,1
2022-10-01,731254.6228458852,334290.9043212754,41772.853359090615,22121.47301764744,153.7,10,2022,4,0,0,0,0,1,0,1,0
2022-11-01,915243.7188330714,466061.32467890054,43883.072670099275,27305.587101835583,154.3,11,2022,4,1,0,1,0,0,0,0,0
2022-12-01,999617.6339953775,465728.7739769585,62490.92223067599,29637.86739523825,154.2,12,2022,4,1,0,0,0,0,0,0,0
2023-01-01,821306.8860942811,407364.61563618964,53733.167139386656,24251.968567916738,154.9,1,2023,1,0,0,0,1,0,0,0,0
2023-02-01,693737.9226331112,367329.95041495113,40575.156926965035,18409.202447464268,155.2,2,2023,1,0,0,0,0,0,1,0,0
2023-03-01,480586.87326882046,231161.3045098382,22984.888019606646,11362.691002757118,155.4,3,2023,1,0,0,0,0,0,0,0,0
2023-04-01,417386.9837899753,172321.47675671717,17373.295911715657,8520.79321314482,156.0,4,2023,2,0,0,0,0,0,0,0,0
2023-05-01,440696.4580994809,185296.32700325432,21414.49952642112,10177.509644346106,156.1,5,2023,2,0,0,0,0,0,0,1,1
2023-06-01,530219.1155674397,245672.00658044126,35757.35359925009,15540.61577853493,156.5,6,2023,2,0,0,0,0,0,0,1,1
2023-07-01,510400.6560802437,250426.78367650314,34472.74925843076,14804.660781851093,157.2,7,2023,3,0,0,0,0,0,0,0,0
2023-08-01,724774.9079027914,343854.52542296116,44490.95068649827,24490.30143685536,158.2,8,2023,3,0,1,0,0,0,1,0,0
2023-09-01,761279.5211640451,252260.91112805446,35477.87278407486,19350.73952731707,158.6,9,2023,3,0,0,0,0,1,0,0,0
2023-10-01,670544.6928139554,256528.62248404263,41054.95780071038,19438.347917857387,158.5,10,2023,4,0,0,0,0,0,0,1,0
2023-11-01,1067914.5504352513,411554.2561951258,52548.51695084126,24350.591388644156,159.0,11,2023,4,1,0,1,0,0,0,0,0
2023-12-01,1193121.4321506033,454109.22019192047,76906.59139609928,25962.578293310988,159.4,12,2023,4,1,0,0,0,0,0,0,0
2024-01-01,601537.5482642071,266075.40533924487,47586.7862797378,15369.849349907978,159.4,1,2024,1,0,0,0,1,0,1,0,0
2024-02-01,633143.2810605529,255301.50337533173,54465.72590699463,14288.032593922204,159.6,2,2024,1,0,0,0,0,0,0,0,0
2024-03-01,543716.3104784123,217578.4312818866,48505.22767111715,11426.706046190071,159.9,3,2024,1,0,0,0,0,0,0,0,1
2024-04-01,426542.6699342707,174087.22091030882,36152.97449385311,8805.901096152455,160.2,4,2024,2,0,0,0,0,0,0,0,0
2024-05-01,434518.74252453394,190032.73778030433,46092.94095227063,9383.200912400083,160.6,5,2024,2,0,0,0,0,0,0,1,0
2024-06-01,507279.02742342866,220787.6617978548,61290.602375945564,13019.533034057331,160.7,6,2024,2,0,0,0,0,0,0,0,1
2024-07-01,501991.17277613236,232986.77840967072,63438.66499630731,13020.514776550619,161.2,7,2024,3,0,0,0,0,0,1,0,0
2024-08-01,612292.4836592148,283962.4756311128,67896.39063942432,16901.55690199682,161.3,8,2024,3,0,1,0,0,0,0,1,0
2024-09-01,815241.5230137445,248373.01538847058,62896.3222637428,17881.419219429805,161.3,9,2024,3,0,0,0,0,1,0,0,0
2024-10-01,828188.6170588384,301689.29781216,102284.82070901217,22327.380105802804,161.7,10,2024,4,0,0,0,0,0,0,0,0
2024-11-01,1163524.4095761576,510292.4696971554,130167.5490376778,30314.7823976145,162.0,11,2024,4,1,0,1,0,0,0,0,0
2024-12-01,1346904.2142305064,567080.5025764995,134974.49467391643,32298.62356597531,162.3,12,2024,4,1,0,0,0,0,0,0,0
